 ===================== NEURON LEVEL 0 ===================== 
 ----------------------- layer0_n0 ----------------------- 
75                        -> 75                       :     01001011 = 75    
5                         -> 5                        :     00000101 = 5     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0.003396574               -> 0.003396574              :     00000000 = 0     

 ===================== NEURON LEVEL 1 ===================== 
 ----------------------- layer0_n1 ----------------------- 
-8                        -> -8                       :     11111000 = -8    
121                       -> 121                      :     01111001 = 121   
27                        -> 27                       :     00011011 = 27    
-4                        -> -4                       :     11111100 = -4    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
2                         -> 2                        :     00000010 = 2     
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
-5                        -> -5                       :     11111011 = -5    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
5                         -> 5                        :     00000101 = 5     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
0.005325331               -> 0.005325331              :     00000000 = 0     

 ===================== NEURON LEVEL 2 ===================== 
 ----------------------- layer0_n2 ----------------------- 
20                        -> 20                       :     00010100 = 20    
24                        -> 24                       :     00011000 = 24    
229                       -> 229                      :     01111111 = 127   
5                         -> 5                        :     00000101 = 5     
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-4                        -> -4                       :     11111100 = -4    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
0.004699637               -> 0.004699637              :     00000000 = 0     

 ===================== NEURON LEVEL 3 ===================== 
 ----------------------- layer0_n3 ----------------------- 
20                        -> 20                       :     00010100 = 20    
-9                        -> -9                       :     11110111 = -9    
26                        -> 26                       :     00011010 = 26    
208                       -> 208                      :     01111111 = 127   
8                         -> 8                        :     00001000 = 8     
-8                        -> -8                       :     11111000 = -8    
-4                        -> -4                       :     11111100 = -4    
-5                        -> -5                       :     11111011 = -5    
-5                        -> -5                       :     11111011 = -5    
-6                        -> -6                       :     11111010 = -6    
1                         -> 1                        :     00000001 = 1     
-4                        -> -4                       :     11111100 = -4    
